coin,best_window,best_combo,models,return_pct,combined_score,feature_set,n_features,optimal_features,horizon,gamma,rank,sampler
LINK,200,RF+LGBM,RF+LGBM,4.21,2.444,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.995,1,Grid
LINK,200,RF+LGBM,RF+LGBM,2.65,1.9351,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.997,2,Grid
LINK,250,XGB+LGBM,XGB+LGBM,-5.69,0.8871,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.999,3,Grid
LINK,200,RF+LGBM,RF+LGBM,-6.14,0.8636,D,13,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d",12,0.997,4,Grid
LINK,250,XGB+LGBM,XGB+LGBM,-6.8,0.8121,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.997,5,Grid
LINK,250,RF+LGBM,RF+LGBM,-5.05,0.7765,D,17,"xa_eth_usd_relstr5d,price_to_sma100h,logret_120h,logret_24h,xa_nasdaq_relstr5d,volatility_48h,price_accel_24h,sma20_to_sma50h,adx_14h,logret_48h,logret_72h,volatility_12h,xa_dax_corr10d,rsi_14h,plus_di_14h,minus_di_14h,m_vix_chg1d",12,0.995,6,Grid
LINK,250,XGB+LGBM,XGB+LGBM,-1.85,2.2679,D,17,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d",14,0.995,1,Grid
LINK,250,XGB+LGBM,XGB+LGBM,-1.84,2.2527,D,17,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d",14,0.997,2,Grid
LINK,250,RF+LGBM,RF+LGBM,-3.15,1.1534,D,30,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d,xa_sp500_relstr5d,minus_di_14h,spread_120h_12h,spread_24h_4h,fg_chg1d,fg_zscore,rsi_14h,m_eurusd_zscore,m_oil_zscore,sma20_to_sma50h,m_gold_chg10d,spread_120h_8h,volatility_12h",14,0.999,3,Grid
LINK,250,RF+XGB,RF+XGB,-6.79,0.6239,D,10,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h",14,0.999,4,Grid
LINK,100,XGB+LGBM,XGB+LGBM,-10.56,0.336,D,20,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d,xa_sp500_relstr5d,minus_di_14h,spread_120h_12h",14,0.997,5,Grid
LINK,100,XGB+LGBM,XGB+LGBM,-10.43,0.3234,D,20,"price_to_sma100h,logret_120h,logret_72h,adx_14h,xa_nasdaq_relstr5d,hour_sin,bb_position_20h,logret_24h,gk_volatility_48h,spread_240h_24h,price_to_sma20h,logret_240h,logret_48h,volatility_48h,xa_dax_corr10d,m_vix_chg1d,m_sp500_chg1d,xa_sp500_relstr5d,minus_di_14h,spread_120h_12h",14,0.995,6,Grid
SOL,150,RF+XGB,RF+XGB,16.27,3.3934,D,20,"pysr_3,logret_120h,pysr_4,price_to_sma100h,sma20_to_sma50h,vol_ratio_12_48,adx_14h,logret_72h,bb_position_20h,hour_cos,hour_sin,atr_pct_14h,logret_8h,price_accel_4h,spread_120h_12h,logret_12h,m_usdjpy_chg10d,m_nasdaq_chg1d,price_to_sma50h,plus_di_14h",5,0.999,1,Grid
SOL,300,RF+XGB,RF+XGB,6.99,1.6098,D,17,"pysr_3,logret_120h,pysr_4,price_to_sma100h,sma20_to_sma50h,vol_ratio_12_48,adx_14h,logret_72h,bb_position_20h,hour_cos,hour_sin,atr_pct_14h,logret_8h,price_accel_4h,spread_120h_12h,logret_12h,m_usdjpy_chg10d",5,0.999,2,Grid
SOL,300,RF+XGB,RF+XGB,4.14,1.5348,D,25,"pysr_3,logret_120h,pysr_4,price_to_sma100h,sma20_to_sma50h,vol_ratio_12_48,adx_14h,logret_72h,bb_position_20h,hour_cos,hour_sin,atr_pct_14h,logret_8h,price_accel_4h,spread_120h_12h,logret_12h,m_usdjpy_chg10d,m_nasdaq_chg1d,price_to_sma50h,plus_di_14h,m_usdjpy_vol5d,spread_24h_4h,logret_48h,spread_48h_12h,dow_sin",5,0.997,3,Grid
SOL,150,RF+XGB,RF+XGB,7.27,1.4576,D,30,"pysr_3,logret_120h,pysr_4,price_to_sma100h,sma20_to_sma50h,vol_ratio_12_48,adx_14h,logret_72h,bb_position_20h,hour_cos,hour_sin,atr_pct_14h,logret_8h,price_accel_4h,spread_120h_12h,logret_12h,m_usdjpy_chg10d,m_nasdaq_chg1d,price_to_sma50h,plus_di_14h,m_usdjpy_vol5d,spread_24h_4h,logret_48h,spread_48h_12h,dow_sin,xa_dax_corr10d,xa_eth_usd_relstr5d,zscore_50h,gk_volatility_14h,logret_5h",5,0.997,4,Grid
SOL,300,RF+XGB,RF+XGB,3.03,1.3752,D,10,"pysr_3,logret_120h,pysr_4,price_to_sma100h,sma20_to_sma50h,vol_ratio_12_48,adx_14h,logret_72h,bb_position_20h,hour_cos",5,0.995,5,Grid
SOL,300,RF+XGB,RF+XGB,1.13,1.1653,D,10,"pysr_3,logret_120h,pysr_4,price_to_sma100h,sma20_to_sma50h,vol_ratio_12_48,adx_14h,logret_72h,bb_position_20h,hour_cos",5,0.997,6,Grid
SOL,250,RF+XGB,RF+XGB,11.91,4.2718,D,13,"pysr_5,pysr_1,price_to_sma100h,pysr_2,sma20_to_sma50h,logret_120h,adx_14h,logret_5h,bb_position_20h,spread_120h_12h,plus_di_14h,hour_cos,vol_ratio_12_48",6,0.999,1,Grid
SOL,250,XGB+LGBM,XGB+LGBM,12.37,3.1214,D,20,"pysr_5,pysr_1,price_to_sma100h,pysr_2,sma20_to_sma50h,logret_120h,adx_14h,logret_5h,bb_position_20h,spread_120h_12h,plus_di_14h,hour_cos,vol_ratio_12_48,m_nasdaq_chg1d,price_to_sma50h,volatility_48h,spread_24h_4h,xa_eth_usd_relstr5d,volatility_12h,zscore_50h",6,0.995,2,Grid
SOL,150,RF+LGBM,RF+LGBM,16.64,2.7839,D,13,"pysr_5,pysr_1,price_to_sma100h,pysr_2,sma20_to_sma50h,logret_120h,adx_14h,logret_5h,bb_position_20h,spread_120h_12h,plus_di_14h,hour_cos,vol_ratio_12_48",6,0.997,3,Grid
SOL,150,RF+LGBM,RF+LGBM,15.52,2.6463,D,13,"pysr_5,pysr_1,price_to_sma100h,pysr_2,sma20_to_sma50h,logret_120h,adx_14h,logret_5h,bb_position_20h,spread_120h_12h,plus_di_14h,hour_cos,vol_ratio_12_48",6,0.995,4,Grid
SOL,250,RF+XGB,RF+XGB,10.72,2.2233,D,30,"pysr_5,pysr_1,price_to_sma100h,pysr_2,sma20_to_sma50h,logret_120h,adx_14h,logret_5h,bb_position_20h,spread_120h_12h,plus_di_14h,hour_cos,vol_ratio_12_48,m_nasdaq_chg1d,price_to_sma50h,volatility_48h,spread_24h_4h,xa_eth_usd_relstr5d,volatility_12h,zscore_50h,gk_volatility_14h,logret_72h,price_accel_24h,minus_di_14h,logret_3h,xa_nasdaq_corr10d,xa_dax_corr30d,m_us10y_chg10d,m_us10y_vol20d,price_accel_4h",6,0.997,5,Grid
SOL,100,RF+LGBM,RF+LGBM,12.57,2.0844,D,30,"pysr_5,pysr_1,price_to_sma100h,pysr_2,sma20_to_sma50h,logret_120h,adx_14h,logret_5h,bb_position_20h,spread_120h_12h,plus_di_14h,hour_cos,vol_ratio_12_48,m_nasdaq_chg1d,price_to_sma50h,volatility_48h,spread_24h_4h,xa_eth_usd_relstr5d,volatility_12h,zscore_50h,gk_volatility_14h,logret_72h,price_accel_24h,minus_di_14h,logret_3h,xa_nasdaq_corr10d,xa_dax_corr30d,m_us10y_chg10d,m_us10y_vol20d,price_accel_4h",6,0.995,6,Grid
SOL,150,XGB+LGBM,XGB+LGBM,10.42,4.3249,D,10,"pysr_1,price_to_sma100h,logret_120h,sma20_to_sma50h,adx_14h,bb_position_20h,logret_24h,vol_ratio_12_48,hour_cos,price_to_sma50h",7,0.997,1,Grid
SOL,300,XGB+LGBM,XGB+LGBM,10.4,3.4151,D,10,"pysr_1,price_to_sma100h,logret_120h,sma20_to_sma50h,adx_14h,bb_position_20h,logret_24h,vol_ratio_12_48,hour_cos,price_to_sma50h",7,0.995,2,Grid
SOL,200,RF+LGBM,RF+LGBM,15.02,2.968,D,13,"pysr_1,price_to_sma100h,logret_120h,sma20_to_sma50h,adx_14h,bb_position_20h,logret_24h,vol_ratio_12_48,hour_cos,price_to_sma50h,xa_dax_corr10d,spread_24h_4h,hour_sin",7,0.995,3,Grid
SOL,150,RF+LGBM,RF+LGBM,12.89,2.5895,D,13,"pysr_1,price_to_sma100h,logret_120h,sma20_to_sma50h,adx_14h,bb_position_20h,logret_24h,vol_ratio_12_48,hour_cos,price_to_sma50h,xa_dax_corr10d,spread_24h_4h,hour_sin",7,0.999,4,Grid
SOL,200,RF+LGBM,RF+LGBM,9.74,2.0079,D,30,"pysr_1,price_to_sma100h,logret_120h,sma20_to_sma50h,adx_14h,bb_position_20h,logret_24h,vol_ratio_12_48,hour_cos,price_to_sma50h,xa_dax_corr10d,spread_24h_4h,hour_sin,spread_48h_12h,fg_chg5d,xa_nasdaq_relstr5d,logret_240h,logret_48h,spread_120h_8h,atr_pct_14h,gk_volatility_14h,logret_72h,plus_di_14h,logret_6h,zscore_50h,m_nasdaq_chg1d,m_sp500_chg5d,xa_nasdaq_corr10d,m_us10y_chg10d,dow_sin",7,0.999,5,Grid
SOL,200,RF+LGBM,RF+LGBM,5.66,1.4498,D,25,"pysr_1,price_to_sma100h,logret_120h,sma20_to_sma50h,adx_14h,bb_position_20h,logret_24h,vol_ratio_12_48,hour_cos,price_to_sma50h,xa_dax_corr10d,spread_24h_4h,hour_sin,spread_48h_12h,fg_chg5d,xa_nasdaq_relstr5d,logret_240h,logret_48h,spread_120h_8h,atr_pct_14h,gk_volatility_14h,logret_72h,plus_di_14h,logret_6h,zscore_50h",7,0.997,6,Grid
SOL,300,XGB+LGBM,XGB+LGBM,17.57,6.6849,D,13,"pysr_1,hour_cos,pysr_5,logret_120h,price_to_sma100h,volatility_12h,spread_24h_4h,sma20_to_sma50h,stoch_k_14h,price_to_sma20h,adx_14h,spread_48h_12h,spread_240h_24h",8,0.999,1,Grid
SOL,300,RF+LGBM,RF+LGBM,20.79,5.3211,D,13,"pysr_1,hour_cos,pysr_5,logret_120h,price_to_sma100h,volatility_12h,spread_24h_4h,sma20_to_sma50h,stoch_k_14h,price_to_sma20h,adx_14h,spread_48h_12h,spread_240h_24h",8,0.997,2,Grid
SOL,300,RF+LGBM,RF+LGBM,18.11,4.354,D,13,"pysr_1,hour_cos,pysr_5,logret_120h,price_to_sma100h,volatility_12h,spread_24h_4h,sma20_to_sma50h,stoch_k_14h,price_to_sma20h,adx_14h,spread_48h_12h,spread_240h_24h",8,0.995,3,Grid
SOL,300,RF+LGBM,RF+LGBM,15.32,3.0731,D,30,"pysr_1,hour_cos,pysr_5,logret_120h,price_to_sma100h,volatility_12h,spread_24h_4h,sma20_to_sma50h,stoch_k_14h,price_to_sma20h,adx_14h,spread_48h_12h,spread_240h_24h,gk_volatility_14h,hour_sin,atr_pct_14h,spread_120h_8h,logret_48h,spread_120h_12h,bb_position_20h,vol_ratio_12_48,logret_72h,price_to_sma50h,minus_di_14h,m_us10y_vol20d,fg_ma5d,volatility_48h,m_oil_chg10d,xa_dax_corr10d,m_oil_chg1d",8,0.999,4,Grid
SOL,300,RF+XGB,RF+XGB,11.5,3.0078,D,17,"pysr_1,hour_cos,pysr_5,logret_120h,price_to_sma100h,volatility_12h,spread_24h_4h,sma20_to_sma50h,stoch_k_14h,price_to_sma20h,adx_14h,spread_48h_12h,spread_240h_24h,gk_volatility_14h,hour_sin,atr_pct_14h,spread_120h_8h",8,0.997,5,Grid
SOL,150,XGB+LGBM,XGB+LGBM,18.2,2.6155,D,13,"pysr_1,hour_cos,pysr_5,logret_120h,price_to_sma100h,volatility_12h,spread_24h_4h,sma20_to_sma50h,stoch_k_14h,price_to_sma20h,adx_14h,spread_48h_12h,spread_240h_24h",8,0.999,6,Grid
ETH,150,RF+LGBM,RF+LGBM,4.1,4.6032,D,17,"pysr_5,vol_ratio_12_48,hour_sin,gk_volatility_14h,pysr_4,adx_14h,hour_cos,spread_48h_4h,spread_120h_12h,gk_volatility_48h,sma20_to_sma50h,logret_2h,logret_72h,volatility_48h,spread_48h_12h,minus_di_14h,price_accel_12h",5,0.997,1,Grid
ETH,250,RF+LGBM,RF+LGBM,4.49,2.8829,D,10,"pysr_5,vol_ratio_12_48,hour_sin,gk_volatility_14h,pysr_4,adx_14h,hour_cos,spread_48h_4h,spread_120h_12h,gk_volatility_48h",5,0.999,2,Grid
ETH,200,RF+LGBM,RF+LGBM,5.19,2.6216,D,10,"pysr_5,vol_ratio_12_48,hour_sin,gk_volatility_14h,pysr_4,adx_14h,hour_cos,spread_48h_4h,spread_120h_12h,gk_volatility_48h",5,0.995,3,Grid
ETH,200,RF+LGBM,RF+LGBM,5.19,2.6216,D,10,"pysr_5,vol_ratio_12_48,hour_sin,gk_volatility_14h,pysr_4,adx_14h,hour_cos,spread_48h_4h,spread_120h_12h,gk_volatility_48h",5,0.997,4,Grid
ETH,200,RF+LGBM,RF+LGBM,5.26,2.6216,D,10,"pysr_5,vol_ratio_12_48,hour_sin,gk_volatility_14h,pysr_4,adx_14h,hour_cos,spread_48h_4h,spread_120h_12h,gk_volatility_48h",5,0.999,5,Grid
ETH,250,XGB+LGBM,XGB+LGBM,2.45,0.7456,D,10,"pysr_5,vol_ratio_12_48,hour_sin,gk_volatility_14h,pysr_4,adx_14h,hour_cos,spread_48h_4h,spread_120h_12h,gk_volatility_48h",5,0.995,6,Grid
ETH,150,RF+XGB,RF+XGB,1.9,6.0956,D,13,"pysr_2,pysr_1,vol_ratio_12_48,hour_cos,pysr_3,gk_volatility_48h,adx_14h,logret_72h,sma20_to_sma50h,logret_3h,price_accel_12h,gk_volatility_14h,m_vix_vol5d",6,0.999,1,Grid
ETH,100,RF+LGBM,RF+LGBM,3.56,3.9809,D,10,"pysr_2,pysr_1,vol_ratio_12_48,hour_cos,pysr_3,gk_volatility_48h,adx_14h,logret_72h,sma20_to_sma50h,logret_3h",6,0.999,2,Grid
ETH,100,RF+XGB,RF+XGB,0.11,3.7885,D,20,"pysr_2,pysr_1,vol_ratio_12_48,hour_cos,pysr_3,gk_volatility_48h,adx_14h,logret_72h,sma20_to_sma50h,logret_3h,price_accel_12h,gk_volatility_14h,m_vix_vol5d,minus_di_14h,volatility_12h,volatility_48h,m_eurusd_vol5d,hour_sin,pysr_5,xa_btc_usd_relstr5d",6,0.999,3,Grid
ETH,100,RF+XGB,RF+XGB,1.92,3.4438,D,25,"pysr_2,pysr_1,vol_ratio_12_48,hour_cos,pysr_3,gk_volatility_48h,adx_14h,logret_72h,sma20_to_sma50h,logret_3h,price_accel_12h,gk_volatility_14h,m_vix_vol5d,minus_di_14h,volatility_12h,volatility_48h,m_eurusd_vol5d,hour_sin,pysr_5,xa_btc_usd_relstr5d,spread_48h_12h,spread_240h_24h,logret_8h,logret_240h,logret_6h",6,0.995,4,Grid
ETH,100,RF+LGBM,RF+LGBM,1.79,2.4458,D,10,"pysr_2,pysr_1,vol_ratio_12_48,hour_cos,pysr_3,gk_volatility_48h,adx_14h,logret_72h,sma20_to_sma50h,logret_3h",6,0.997,5,Grid
ETH,100,RF+LGBM,RF+LGBM,-0.14,2.3247,D,10,"pysr_2,pysr_1,vol_ratio_12_48,hour_cos,pysr_3,gk_volatility_48h,adx_14h,logret_72h,sma20_to_sma50h,logret_3h",6,0.995,6,Grid
ETH,100,RF+XGB,RF+XGB,4.17,6.0624,D,30,"pysr_5,vol_ratio_12_48,pysr_2,hour_cos,pysr_4,spread_240h_24h,volatility_48h,m_vix_vol5d,minus_di_14h,logret_72h,adx_14h,price_accel_24h,pysr_1,sma20_to_sma50h,logret_120h,volume_ratio_h,logret_24h,plus_di_14h,spread_24h_4h,m_nasdaq_chg1d,spread_120h_8h,hour_sin,atr_pct_14h,logret_48h,spread_120h_12h,rsi_14h,xa_btc_usd_relstr5d,xa_btc_usd_corr10d,gk_volatility_14h,logret_6h",7,0.999,1,Grid
ETH,100,RF+LGBM,RF+LGBM,4.7,3.9431,D,10,"pysr_5,vol_ratio_12_48,pysr_2,hour_cos,pysr_4,spread_240h_24h,volatility_48h,m_vix_vol5d,minus_di_14h,logret_72h",7,0.997,2,Grid
ETH,100,RF+LGBM,RF+LGBM,4.76,3.8397,D,10,"pysr_5,vol_ratio_12_48,pysr_2,hour_cos,pysr_4,spread_240h_24h,volatility_48h,m_vix_vol5d,minus_di_14h,logret_72h",7,0.995,3,Grid
ETH,100,RF+LGBM,RF+LGBM,3.25,3.3358,D,20,"pysr_5,vol_ratio_12_48,pysr_2,hour_cos,pysr_4,spread_240h_24h,volatility_48h,m_vix_vol5d,minus_di_14h,logret_72h,adx_14h,price_accel_24h,pysr_1,sma20_to_sma50h,logret_120h,volume_ratio_h,logret_24h,plus_di_14h,spread_24h_4h,m_nasdaq_chg1d",7,0.995,4,Grid
ETH,100,RF+LGBM,RF+LGBM,2.94,3.2406,D,20,"pysr_5,vol_ratio_12_48,pysr_2,hour_cos,pysr_4,spread_240h_24h,volatility_48h,m_vix_vol5d,minus_di_14h,logret_72h,adx_14h,price_accel_24h,pysr_1,sma20_to_sma50h,logret_120h,volume_ratio_h,logret_24h,plus_di_14h,spread_24h_4h,m_nasdaq_chg1d",7,0.997,5,Grid
ETH,72,RF+LGBM,RF+LGBM,3.78,1.9775,D,30,"pysr_5,vol_ratio_12_48,pysr_2,hour_cos,pysr_4,spread_240h_24h,volatility_48h,m_vix_vol5d,minus_di_14h,logret_72h,adx_14h,price_accel_24h,pysr_1,sma20_to_sma50h,logret_120h,volume_ratio_h,logret_24h,plus_di_14h,spread_24h_4h,m_nasdaq_chg1d,spread_120h_8h,hour_sin,atr_pct_14h,logret_48h,spread_120h_12h,rsi_14h,xa_btc_usd_relstr5d,xa_btc_usd_corr10d,gk_volatility_14h,logret_6h",7,0.997,6,Grid
ETH,200,RF+XGB,RF+XGB,5.66,5.0938,D,13,"pysr_1,vol_ratio_12_48,pysr_3,spread_48h_12h,price_accel_24h,hour_sin,hour_cos,spread_240h_24h,pysr_2,logret_72h,adx_14h,m_eurusd_chg1d,pysr_5",8,0.999,1,Grid
ETH,200,RF+LGBM,RF+LGBM,4.21,4.9567,D,13,"pysr_1,vol_ratio_12_48,pysr_3,spread_48h_12h,price_accel_24h,hour_sin,hour_cos,spread_240h_24h,pysr_2,logret_72h,adx_14h,m_eurusd_chg1d,pysr_5",8,0.997,2,Grid
ETH,100,RF+LGBM,RF+LGBM,3.12,3.5836,D,17,"pysr_1,vol_ratio_12_48,pysr_3,spread_48h_12h,price_accel_24h,hour_sin,hour_cos,spread_240h_24h,pysr_2,logret_72h,adx_14h,m_eurusd_chg1d,pysr_5,minus_di_14h,m_nasdaq_chg1d,spread_120h_12h,xa_btc_usd_relstr5d",8,0.999,3,Grid
ETH,100,RF+LGBM,RF+LGBM,2.35,3.434,D,17,"pysr_1,vol_ratio_12_48,pysr_3,spread_48h_12h,price_accel_24h,hour_sin,hour_cos,spread_240h_24h,pysr_2,logret_72h,adx_14h,m_eurusd_chg1d,pysr_5,minus_di_14h,m_nasdaq_chg1d,spread_120h_12h,xa_btc_usd_relstr5d",8,0.995,4,Grid
ETH,200,RF+LGBM,RF+LGBM,3.24,1.7977,D,13,"pysr_1,vol_ratio_12_48,pysr_3,spread_48h_12h,price_accel_24h,hour_sin,hour_cos,spread_240h_24h,pysr_2,logret_72h,adx_14h,m_eurusd_chg1d,pysr_5",8,0.995,5,Grid
ETH,200,RF+LGBM,RF+LGBM,4.32,1.3448,D,17,"pysr_1,vol_ratio_12_48,pysr_3,spread_48h_12h,price_accel_24h,hour_sin,hour_cos,spread_240h_24h,pysr_2,logret_72h,adx_14h,m_eurusd_chg1d,pysr_5,minus_di_14h,m_nasdaq_chg1d,spread_120h_12h,xa_btc_usd_relstr5d",8,0.995,6,Grid
